"aDC","Adipocytes","Astrocytes","B-cells","Basophils","CD4+ memory T-cells","CD4+ naive T-cells","CD4+ T-cells","CD4+ Tcm","CD4+ Tem","CD8+ naive T-cells","CD8+ T-cells","CD8+ Tcm","CD8+ Tem","cDC","Chondrocytes","Class-switched memory B-cells","CLP","CMP","DC","Endothelial cells","Eosinophils","Epithelial cells","Erythrocytes","Fibroblasts","GMP","Hepatocytes","HSC","iDC","Keratinocytes","ly Endothelial cells","Macrophages","Macrophages M1","Macrophages M2","Mast cells","Megakaryocytes","Melanocytes","Memory B-cells","MEP","Mesangial cells","Monocytes","MPP","MSC","mv Endothelial cells","Myocytes","naive B-cells","Neurons","Neutrophils","NK cells","NKT","Osteoblast","pDC","Pericytes","Plasma cells","Platelets","Preadipocytes","pro B-cells","Sebocytes","Skeletal muscle","Smooth muscle","Tgd cells","Th1 cells","Th2 cells","Tregs","ImmuneScore","StromaScore","MicroenvironmentScore","sample_id"
0,2.85145509409725e-20,1.97934096729771e-18,0.00354121111230136,0.00817832118242954,0.000795567984909339,1.00115893876046e-18,6.51706369802267e-20,0.00177975928172238,0,0.00306591386781747,0.00979793550311348,0.00947018760268474,0.00101974583890833,0.00476284863636442,0,0.00368454227642958,0.00734045010642675,0,4.24081665101282e-19,0,0,0.0793451980888034,3.12254854741871e-19,1.41902532608026e-18,3.91403568791397e-18,7.59872226835359e-21,1.84264316682605e-19,0.0301459532488863,0.0341821114682116,0,0.00626582705452714,0.00413195463829795,0.00340655116911887,0.00376748837784308,0,0.00849403108608433,1.23684938905183e-21,0.0265557846812492,2.30326107356303e-18,8.56260094406209e-19,3.6310563885001e-19,0.0385458662217622,4.14558134172293e-19,0.00387447357673203,0.0010810174568364,0.000300417887555227,0,0,0.000525659362886768,0,0.00163619760590362,0.010014218403135,0.00824435387798753,0,0,0.00458307876781933,0.0209527879691471,0,0.0216052679587528,0,3.18751169007188e-19,0.0616674298199839,0,0.01558164136519,7.23769938510618e-19,0.01558164136519,"GSM2242048_T1_edge_Week0.CEL"
2.34186603461155e-18,0,8.95435198960153e-19,0.00878871504729861,4.41454669945083e-19,0.00384061110664946,0,6.15718383033301e-20,0.00878742758043588,3.77951496371482e-20,0,0.0238368733385848,0.0145069990411128,0.00898472830252964,0.0321786691078367,5.2618506508258e-19,0.0100438086245903,0.00969252761999924,6.94129937598705e-20,0.00210422488098073,0.00123901000231522,1.7229132299173e-19,0.078050183696208,0,0,6.6080158900619e-19,0,0,0.0720999307079244,0.0330315399752936,0,0.00704125350160501,0.00968758320420848,0.00612066957443901,0.00225703620699597,0.00143321263744697,0,0.00144164115770768,0.0263269441348308,7.41838051551507e-22,0,0.00243026880263807,3.24259694838965e-18,0.00292204291785796,0.00217876097949695,0.000347278935376599,0,9.0805405100437e-05,2.35224558952667e-18,0.00100205280940143,0.00495153056947892,0.00174104977852221,9.89393876028294e-20,0.00638418753384389,0.00107482228014717,0,0.0044623502108546,0.0207444735763129,1.3696332999118e-19,0.0266752132476123,0,0,0.0998206986990259,0,0.0294126055870437,0.000619505001157608,0.0300321105882013,"GSM2242049_T1_edge_Week1.CEL"
0.0826483951925546,0.000412673758221535,5.08389186916951e-19,1.36419901856476e-18,0.11205187449731,1.07285840810004e-19,3.48980208497611e-18,0,1.73111472296191e-18,1.84383224929583e-18,1.22010607798904e-19,0,0,2.48121723701723e-19,0.0403191105089958,2.91822166506761e-19,0.00180881600056228,0.00789134094713914,4.77917395030933e-19,0.00629403145745938,0,0,0.0655301382580939,9.4151516921318e-19,0.0124151269407536,2.49399174287051e-18,0.00355824631410147,4.18102559080518e-19,0.0872113071476761,0.0235024700244758,0,0.00501355899047584,0.0138697295096684,0.00234721963870337,0.000544341541600181,1.42095547278971e-19,0.01728816858837,3.65710515721102e-20,0.0240925787305079,8.01591164694252e-20,0,4.96552462606536e-19,0,4.54869835341524e-20,0.00278204041537427,0.000161501719376728,1.04939857200236e-21,0,7.99051616289677e-18,0,0.00296629757085426,0,0.00677474603910236,0.00313528435549373,0,0.0379736220638712,0.00701669135168754,0.0213606029410982,0,0,1.36374358523543e-19,0,0.0617151088534256,0,0.0079012879930236,0.00641390034948759,0.0143151883425112,"GSM2242050_T2_edge_Week0.CEL"
0.0537336105259173,0,3.41860546743969e-18,0.00551403951586587,0.0136928415168842,0.00130689569869662,0,3.88460456409775e-19,0.00757164451275403,1.2720032386985e-18,0.00166488755236833,0.0101464063838453,0.0127211452078197,0,0.0282620771609717,2.69630563044422e-18,7.07413099804916e-20,0.00513379601986695,0,0.00666348581803158,7.05012992490249e-21,1.91619657782025e-19,0.0653163356202297,0,0,0,0,1.24461385123758e-05,0.120428321195018,0.0266990575064409,0,0.035808449186408,0.0196207246931767,0.0436359891601531,0.00149872821268685,0,0.0114093541787783,0.00122394152634673,0.014223815586279,2.05269831660269e-18,0.00173742710723629,2.94698168895025e-20,0.030021317938709,0,7.11277071894725e-19,0,0.000198136767348699,0.00323457792957085,4.33695085604103e-18,0.00454824789986088,3.99324623441537e-18,0.00993050479625499,0,0.00528197652191964,0.00225946716036964,0,0.00428421547214656,0.0213363444730074,0,0.0217619655954707,2.02357911802205e-19,0,0.0647811849809846,1.24441645222526e-19,0.0430687427690965,3.52506496245124e-21,0.0430687427690965,"GSM2242051_T2_edge_Week1.CEL"
0,0.0016889547749285,0.0029640467188472,8.31177968358614e-19,0.00754765568019168,0,1.1310387006076e-18,1.23408912013679e-18,0.0144001792107988,1.23791665209182e-18,0,0.00297707174990612,7.33341975572682e-19,0,0.0139810259589382,0.0129486092500431,0,0.0042748805286855,0.000851666075960029,5.94875580302784e-19,0.00916244931953559,0,0.0553878835803848,4.0931336849251e-19,0.0215778943648521,0,0,0.0263499847850674,0,0.0168518609503286,0.00146077538473222,0,1.18491626331625e-19,0,0.00237282635522009,0.000435145620352876,0.0326182687316146,3.94000344496469e-18,0.0139971795028311,0.00736167307504978,4.07353336724768e-19,1.06754349424387e-18,0.0325845684438942,0.00244115903004016,0,4.76539467796248e-19,0.000228416348949896,1.31471387925876e-19,0,0.00538975050329196,0.000489504756654297,0,2.38504663674238e-18,0.00762382810779079,0,0,0,0.0124578637155248,0,0.0760692270662442,1.69034101400703e-19,0,0.0150445121811978,3.76401011523755e-19,0.00356659873675081,0.0162146492296581,0.0197812479664089,"GSM2242052_T3_edge_Week0.CEL"
0.00116880626536058,0.000989814492068384,0.0103556906115751,2.40829871466524e-19,0.0211785748496565,0,0,7.79956551711765e-19,0.00752415155819733,1.5652137674872e-18,3.04853556836029e-19,0,0,0,0.0555894929836718,0.0199889757510966,0.00103184518422719,7.39546875336419e-21,0,4.43111905120778e-20,0.0101066868999517,0,0.0322977252001781,5.4356841549557e-19,0.0721886947798751,1.03961589099848e-18,0,0.00734342478750316,0.0163334818698706,0.013074082054854,0.00135069735881806,0.00613692150069107,0.00335248731455206,0.00608594565825111,0.00422835803512592,0,0.019952221755614,0,0.0157960252193523,0.0117672653284864,0,0,0.0667439122036679,0.00481152013372031,0.00148193032895017,0,0.000163068791380242,0,0,0.00929223326870603,0,0.00137612136513642,0.0197405221329378,0.0116835720201881,0,9.07788131779607e-21,0,0.00915510151310933,1.22839667818194e-20,0.0643594453893568,4.53548071680841e-18,0.00250932743453658,0.011385160067255,0.0157172093892576,0.00691018635721133,0.0416425980859476,0.0485527844431589,"GSM2242053_T3_edge_Week1.CEL"
0.050987000751623,0,0,0,0.0276251320387509,9.44117558963194e-19,0.0039418892446056,2.11212822636268e-18,0.0255582779574519,0.0128079220120209,0.00258523881369341,0.0112323042777413,0.00212488406429283,0.000257629083066741,6.26992214323026e-20,0,1.5473907659586e-19,0,0,0,0.00307244253656745,0,0.085345317763246,0,1.78947608646911e-18,7.72511001752977e-18,1.44341816382639e-19,1.11132518696399e-18,0,0.025953947494569,0.00421566173564307,0.0143244617177895,0.012002832444803,0.0446250219711252,0.00315057026292284,0.000302920148175481,0.0109180507658547,1.58821147178928e-23,0.0261130126692249,0,0,0,0.172973411626258,0.0115223129544197,0,0,0,0,9.0645537888359e-18,0.0206627790108704,3.83771476861175e-19,0.000455456223290316,1.2420965764213e-18,0.000782707301421429,1.32360362668078e-19,1.48445483322037e-18,0.000108288086542636,0.0134036249317221,0,0,0,0.0200514364372545,0,0,0.0191382241723024,0.00153622126828373,0.0206744454405861,"GSM2242054_T4_edge_Week0.CEL"
0.143060787293115,1.21065715724503e-19,0,0.00104436206747636,0.0455627415909993,0.000525302033008743,0,3.64431119442429e-19,0.0259985825604025,0.0339150280399197,1.86859562127144e-19,0.014600574949613,0.0558913499928514,0.0133420435037918,0.00740318953189305,1.44112596093593e-19,9.56734032129615e-21,0,0,0.000572718299373054,0.0162161753293629,0,0.0666450178628832,0,0.0343204612351084,0,0,0,5.96204575815227e-20,0.024691536496416,0.00685680337488742,0.04238394916476,0.0350112037613055,0.0610587658306934,0,0,0.00183545265456219,0.000293352874850495,0.00153753931985035,0.00689491101608816,1.33335022177847e-18,0,0.115820711761119,0.0122259832637102,1.475608477973e-20,0.000276044336348272,0.000129671584253028,2.01369785061898e-18,0,0.0209076467251824,0,0.0152023053829164,0,7.2073540252479e-20,5.32451041710592e-19,4.32033112610963e-19,1.07641739245503e-18,0.0224675391950888,1.98506036702825e-21,0,2.98810644163899e-19,0.00773390124902415,0.0153947494222855,0.013000114636405,0.039067736320815,0.0252683182822357,0.0643360546030507,"GSM2242055_T4_edge_Week1.CEL"
0.0302567509236498,0.00199787035114431,1.7293591798845e-18,0,0.0103893641488465,0,0.000782239860748191,0,0,0,0.000440271190814596,2.88106108346734e-20,0,0,0.027639139674595,0.0339357053511753,0,0.00134554580367528,0.000543264098394671,0,0.00199269299740991,5.08389927796305e-19,0.0478305745377324,5.80363530403155e-19,0.0764639760236586,5.03357172268e-18,0,0.0407481941663429,0.0149299600642374,0.0177738740241639,0,0.0134283786935471,0.0085909889501393,0.00871986749946504,0.00282137972415064,0.00121215765805999,0.0116451722112024,0,0.0296793535100064,0.000288054918078261,0,1.12763678788669e-18,0.0620246612356709,0.00278660805204672,0.00575978816133895,0,0.00113650017282502,1.23222358614715e-20,0,0.00443897509550636,0.00165589474634582,5.39738546403731e-19,0.0306909392766129,0.00778866958547666,5.33071746751661e-20,0,0,0.014385079336107,1.80822327942274e-18,0.100902063596481,4.34704463712606e-18,0.002607309543094,0.00526573642142607,9.86556196144772e-20,0.0108331722784652,0.0402272696861064,0.0510604419645716,"GSM2242056_T5_edge_Week0.CEL"
0.190179321652013,1.72425526369494e-19,0,6.09284952237461e-20,0.0274896510951456,0,0.00442839033844552,0,0.00461654877777433,0,0,0,0.00789298426987418,3.40021205012514e-18,0.0443439688268825,0.0303748489679289,0,0,0,0.0101104341842553,0.0500693238969599,0,8.40884043918006e-19,0,0.167494572442739,0,0.00122960622895479,0.0669767128647361,0.120511241674716,1.49276225316477e-19,0.0190286677398053,0.0492430013671822,0.0240800130793944,0.0682630534358057,0.00792075334737093,0.00105872184121023,0.00291614081637403,4.88151267613432e-19,0.00223817645834694,0.0112438924677882,2.5030781098397e-18,2.98124508933579e-18,0.0774658067566658,0.03830094349792,0.00138944436152491,0,0.00210691856623119,0,0,0.0208244569867444,1.22470698177402e-18,0.00231126014864554,0.0516657351613767,0.010237281291669,0,0.0151393063048065,2.83573609406427e-18,0,0,0.0959537769652537,1.71237590529579e-18,0,0,9.42478675942221e-19,0.0448494592658723,0.10878194816985,0.153631407435722,"GSM2242057_T5_edge_Week1.CEL"
0.0511332799740562,0.0041496465039677,1.53373328563548e-18,0,0.0851262967507459,4.80120219668438e-19,0,2.98261482844181e-19,0.00791186308511515,2.436330502423e-18,3.82776468621735e-19,2.05161251756682e-19,0,0,0.00856216055035831,0.0118590213711057,2.89577523098021e-19,9.37919272343777e-20,1.56871327088429e-19,0,0.00360200038955389,0,0.0532566039034389,8.50183598274119e-19,0.0591564573656559,1.24831475403843e-17,0.00069027739866618,0.00673657418290485,0.0450494796780666,0.0178072811412651,0,0.0098541871037411,0.0146628662850428,0.00309789086758489,0.000138749928251345,1.68345843192368e-19,0.0111861580506611,3.6985276070374e-19,0.000728048635949281,0.00414352779413431,5.09989433933301e-18,0,0.0695028192989009,0.00311689353432997,1.87655622299492e-19,6.12157103409074e-20,0,4.03724905741612e-19,0,0,0,0,0.00750956052409531,0.000684539925305101,0,0,3.9242932629745e-21,0.0106734681910076,3.77153786425038e-19,0.0191314007037717,0,0.00477954305063122,0,2.72998331934329e-18,0.0066619580213283,0.0334540521295888,0.0401160101509171,"GSM2242058_T6_edge_Week0.CEL"
0.0598736008258818,0,5.86235316011164e-18,0,0.0682963829014259,4.98287301711654e-20,2.71723804094082e-19,2.0825956532501e-19,0.0159014957760638,0,0,1.94212429172376e-19,0,9.00734441384703e-19,0.00518553481012972,0.00963655785664806,0,3.49040745519645e-19,5.6865621742377e-19,0.00478482806050577,0.0219381905469956,0,0.0295958512191659,1.75797145390992e-18,0.13474261045768,0,0.00182224858203099,0.0410786562583797,0.149887694199824,0.0113438821892273,0.00823746765202284,0.00740861805542241,0.0122012256846961,0.00642513787426877,2.54690369666101e-21,0,0.00121204424474344,2.68687717608465e-18,0,0.0165451145309745,0,0,0.0736972468982366,0.0155991935070468,2.41354851763076e-18,2.70095075184396e-18,0.000307830606526795,2.0886345591764e-18,0,0,0,0,0.0339853674303075,0.0310679258314542,2.71310678159582e-18,0.00333000569622683,3.67904558119661e-19,0.00719329380882469,0.00316553627791709,0.0164496397063561,0,0.00277316220155014,0.0361925572142224,7.91782690357111e-20,0.00812896407728545,0.0783404005023376,0.086469364579623,"GSM2242059_T6_edge_Week1.CEL"
0,0,2.4979736580411e-18,0.00407599959106316,0,0,0,2.5316706959583e-19,0.00642807805096632,0,0.00275303014131481,0,8.90590620530705e-05,5.71718023475263e-19,0,0,0.0028841024777137,0.0051948364886469,0.000153363654652339,0,0.0190289343300698,0,0.0867295346001189,1.02682810975584e-20,0,3.42731488523697e-19,2.82471413419426e-19,0.0182226645596507,0.0294486128717628,0.036990717449271,0.00721381471138148,0,0,0.000368336607264737,0.00195813087302271,0.0013196572428072,0.000643959985370645,0,0.00357018704303202,0,2.40010059160647e-19,0.00116296911229766,0.0648181357462358,0.0158648256887151,0.00180934701765967,0,0.000253098390552124,1.92257572756327e-19,0,0,0,0,0.00357963156651738,0.0407495778867003,0.00559602790149068,6.56677217295213e-18,3.83596149920298e-19,0.0251855368977994,5.68736723154454e-19,0.0708023873194732,1.45242507444415e-18,3.19851325915474e-18,0.0139482810639859,0.00607439181032308,0.00402275364272391,0.0095144671650349,0.0135372208077588,"GSM2242042_C1_edge_Week0.CEL"
0.0147654473622413,5.27862243991627e-20,1.21446895693021e-17,0.00741744376847596,0,0.0020226791333639,0,0,1.61614351726862e-18,3.33637356072521e-18,0.000702615293275211,0,0.00354179751360142,5.58500504107818e-19,0.00950755940237792,0,1.18862069656691e-18,0.0208728011291162,0,0.00377511491315369,1.42396351969772e-19,1.74856244412524e-19,0.0720975347835628,0,0.00978227687527405,0.0125873122322067,0,0.0135261528024497,0.152210672767687,0.0369162627155418,0,0.0114244548884039,0.0104662269522492,0.0050623613809232,0.000189624030427742,0.000662961233859131,0.00101815091975109,0,0.034340775411294,0,0.00573444406992794,0.00184361019289198,0.0751447978584146,0.00081814740700843,1.40124857211312e-19,0,0.000150385291604294,9.66090094916974e-22,1.90721773276795e-19,1.05776309417479e-19,3.12962020266716e-18,0.00501256592299067,0.00121430516326032,0.0403285906714902,3.84224343287102e-19,1.9272508841748e-18,0.00908411589518349,0.0245807332962617,6.71986310733919e-20,0.0734582230668379,2.13755660042131e-20,0,0.127824072188531,0,0.0190273877802595,0.00489113843763702,0.0239185262178965,"GSM2242043_C1_edge_Week1.CEL"
0.0704812064112333,3.14449943772249e-19,1.05685617037943e-18,0.0377759582301328,0.00698719422683555,3.39696475596861e-20,0.010856011375346,2.04606249357333e-19,0,0.0187035154419788,0.00358612019273824,0.0410643922084225,0.0384491831233845,0.00621771652033593,0.0461749383194003,0.00245892509049967,0.0142428575568432,0.00356822824901064,0.00762912669300505,0.00247437927731706,0.00211418096872577,0,0.0151105385655989,0,0.0828676045520342,0,0.000813895376687215,0.00901014928483059,0.0630661765884057,0.00812231273211931,0.000902224774177877,0.0405615755126099,0.0260436397426466,0.0391412453956887,0.0186210887198562,0,0.00637678883114525,0.00645789703542046,0.029429067352067,0.00686093182561666,0.00289803241624495,0.005619810078988,0,0.00258314134041414,4.07364388403835e-20,5.86765902279724e-19,0.000713658522507829,0.000561235376429551,0.00346745200546903,0.000152517559551496,1.18012265284818e-18,0.00541671536808813,0.00487354841192922,0.0720931345890294,3.49604472859116e-21,0.0245086346842852,0,0.00248524743924308,0,0.076814499938472,0,0,0.0165362519656373,1.74296672313045e-18,0.0982827424976546,0.04249089276038,0.140773635258035,"GSM2242044_C2_edge_Week0.CEL"
0.0587830243935121,0.0011335583644487,0,0.00709632469743447,0.129021301017982,7.16307878344872e-20,0,0,0.00359332105419398,0,0,1.58517860483887e-23,1.5115847573246e-18,2.44281956326196e-19,0.0896276860977292,0.0033011997943827,0.0046455089479969,4.14259003380855e-19,0.00451832064174466,0.0139764301536904,0.0156195304234206,2.33354634039178e-18,0.00987382512119115,0,0.0837793675183679,6.77607231032794e-19,0.00301017834682152,0.0300525779868047,0.236688281687787,0.00309024045640166,0.00516344567209574,0.0436608203110336,0.0220996558536015,0.0593753586503045,0.022751871828562,0,0.0140638808604436,0.00378570533412177,0.0219606029455196,0.0077165877682269,1.55803288252797e-18,0,0.00163571733844069,0.0125882471683164,0,1.37638314852835e-18,0,0,7.22678603936237e-18,0,0,0,0.00663245218283287,0.0373001286589213,1.53616675284193e-18,0.0445189554143202,0,0.00355089622128188,0.00136943545058032,0.0198799339278674,3.70487910710437e-18,3.82120702856392e-20,2.57896927558416e-18,0,0.058323631327147,0.0502662281531186,0.108589859480266,"GSM2242045_C2_edge_Week1.CEL"
0.138309039141169,0.00124859230225761,0,3.73160331404717e-19,0.103267852749018,2.83328285895071e-20,0,9.32000148405149e-18,0.00465963325672455,0,0,7.80045510198016e-18,0,4.30317297237483e-19,0.0146161362624562,1.83798043508524e-18,4.51966482362e-18,1.490974856204e-19,1.04055695290116e-18,0.0124463104532044,8.11951313256739e-19,0,0.080563945483827,0,0.0455743183953037,8.86823587021337e-21,0.00175858113845632,5.28564521049277e-20,0.197716489963535,0.0216220751712737,1.33913172255922e-20,0.00964117562652876,0.00890585918299043,0.00101394978653331,0.001820382927685,2.22643800355815e-19,0.00565411150700398,0,0.0176565564211457,0.00406229874787045,0.000805264089990615,1.30084896694255e-18,0.0219829274329485,0.000417791328753126,0.00158121232590225,0,0,0,4.6769262952135e-18,1.11852669115368e-19,0.00703510649590961,0,0.0428214557011699,0.00178887620759817,0,0,1.74297298778994e-21,0.0223986728052449,0,0,0,0.00379734256405302,0.0175012833476647,2.6132509397979e-18,0.0164754220649392,0.0234114553487807,0.0398868774137199,"GSM2242046_C3_edge_Week0.CEL"
0.082591041342442,0.0306007884984105,0,8.5514060548114e-19,0.105851004937923,0,0,0,3.73375438426383e-25,6.91882065447131e-19,5.53269065297586e-20,0,0,0,0.00854159555929825,0,0.000958225313168189,0,2.67706475146776e-18,0.00533217408702505,0,0,0.0714220796759744,2.33142440745066e-18,0.0558359077915266,3.06406395086564e-19,0.00379485413515779,9.1722502151274e-05,0.125116399798749,0.0231598487880878,1.43204743968203e-20,0.00997909187187823,0.0125302237785221,0.00398121479351267,0.00282260270999165,0,0.00267063822400273,0,0.023402643845187,0.00402969406542084,0,2.854426351757e-18,0,0.000326603355527255,0.000432127323915774,0,0,0,6.21331843838074e-18,8.88616397326831e-19,0,0,0.0640206684876185,0.00730638382653754,6.38045635464664e-18,2.02589577730098e-19,0.000829574126223951,0.0240118885802579,6.44445190635322e-19,1.01243065757574e-17,1.98945726392691e-18,0,0.0433853898198767,0,0.0120892457792633,0.0432183481449685,0.0553075939242318,"GSM2242047_C3_edge_Week1.CEL"
